"Distance [mm]","ComplexMag_Hz [] - $epsr_eff='-2359800' $sigma_eff='416.58' Freq='0.001GHz' Phase='0deg'","ComplexMag_Hz [] - $epsr_eff='1' $sigma_eff='0' Freq='0.001GHz' Phase='0deg'"
112,965.718612924267,637.496178423638
112.7,996.463305725063,645.247140059901
113.4,1029.61610632289,652.880541629314
114.1,1063.59509199815,660.717284771125
114.8,1098.11039265422,668.546734086827
115.5,1133.55180738937,676.53111373219
116.2,1161.30395739515,684.567597339833
116.9,1167.01590715721,692.674331538752
117.6,1172.93285805842,700.834336097204
118.3,1179.03730510409,709.041784691615
119,1185.43326994075,717.367592233782
119.7,1191.35314300907,725.470058329539
120.4,1199.12222357932,734.276407589233
121.1,1204.41821291716,741.67488159332
121.8,1211.05838126727,749.93396093055
122.5,1217.70441962177,755.456934362887
123.2,1223.337347023,767.641196033109
123.9,1237.13189007312,776.450567507291
124.6,1239.31854004408,781.115743016131
125.3,1238.94053961935,779.847227773367
126,1244.86936107449,791.867621529845
126.7,1252.10730129337,803.88802047868
127.4,1267.7965652531,795.662803026859
128.1,1196.90939167549,765.048707523459
128.8,1184.56460735097,757.201108416935
129.5,1069.80226656807,682.947348143421
130.2,809.118721367173,538.028840058141
130.9,611.363606403783,405.462895359536
131.6,,
132.3,,
133,,
133.7,,
134.4,,
135.1,253.639078240146,239.505209099657
135.8,322.567219578593,349.626999803518
136.5,389.45167673873,394.875483624276
137.2,516.244209222537,509.714932873926
137.9,509.017466649124,502.166868352677
138.6,501.790725297672,494.618826273745
139.3,494.56398516818,487.070806637132
140,487.337246260649,479.522809442837
140.7,480.110508575078,471.97483469086
141.4,472.883772111468,464.426882381201
142.1,465.902305511952,456.202409246355
142.8,457.70471945775,450.597619856548
143.5,449.507139402461,444.992832957711
144.2,442.10460454186,439.388048549844
144.9,435.180836972006,422.707525263196
145.6,428.257068801354,421.694432532114
146.3,419.211814832025,414.380957803058
147,411.677539936099,407.067482670404
147.7,404.143273494755,402.196136453392
148.4,396.609015507993,394.367846676536
149.1,389.074765975815,386.734588415327
149.8,382.017091024565,380.122638751542
150.5,374.114275818248,373.510689231796
151.2,366.14384863011,366.010719663269
151.9,359.641400698335,359.093109445537
152.6,353.138967178111,347.539389962596
153.3,352.11910351444,342.269149814668
154,345.093585735965,335.101205547223
154.7,338.068102856472,332.484764804423
155.4,331.042654875965,326.633478203495
156.1,324.017241794441,320.782192366253
156.8,316.991863611901,314.930907292696
157.5,309.966520328345,309.079622982825
158.2,301.745298520218,303.228339436639
158.9,297.226296853126,297.377056654139
159.6,292.707306125389,291.525774635325
160.3,288.188326337007,285.674493380196
161,283.669357487979,282.265505326
161.7,279.150399578307,276.117060681753
162.4,274.631452607989,269.968617199577
163.1,270.112516577026,263.82017487947
163.8,265.593591485418,258.843768584695
164.5,261.074677333164,254.791066024175
165.2,249.874676889881,250.738363407616
165.9,244.058279376805,246.685660735015
166.6,238.24190565256,242.632958006375
167.3,232.425555717143,238.580255221695
168,226.609229570556,234.527552380974
168.7,220.792927212798,230.474849484213
169.4,214.97664864387,226.422146531411
170.1,215.357420063434,222.36944352257
170.8,204.982303703624,226.193191868144
171.5,201.970983779568,217.571605318173
172.2,198.959671773413,215.72107735703
172.9,195.948367685159,212.25242732786
173.6,192.937071514806,212.882486389118
174.3,187.694330063035,208.911055118437
175,185.157149461831,204.958585806338
175.7,182.619972186864,201.025078452823
176.4,180.082798238132,197.11053305789
177.1,177.545627615637,193.21494962154
177.8,175.008460319377,189.338328143772
178.5,172.471296349354,185.480668624588
179.2,169.934135705566,181.641971063986
179.9,167.396978388015,177.822235461967
180.6,164.859824396699,174.02146181853
181.3,162.322673731619,170.239650133676
182,159.785526392775,166.476800407405
182.7,157.248382380167,162.732912639717
183.4,154.711241693796,159.007986830611
184.1,152.17410433366,126.128970711307
184.8,149.63697029976,125.075589103761
185.5,147.099839592096,124.022228430325
186.2,144.562712210667,122.968888691
186.9,142.025588155475,121.915569885785
187.6,139.488467426519,120.862272014681
188.3,136.951350023799,119.808995077687
189,134.414235947315,118.755739074803
189.7,131.877125197067,117.702504006029
190.4,131.232233615498,116.649289871366
191.1,128.961768485216,115.596096670813
191.8,126.691305728634,114.54292440437
192.5,124.420845345751,113.489773072038
193.2,122.150387336568,112.436642673816
193.9,119.879931701085,111.383533209704
194.6,117.609478439302,110.330444679702
195.3,115.339027551219,109.277377083811
196,113.068579036835,108.22433042203
196.7,110.798132896152,107.17130469436
197.4,108.527689129168,106.1182999008
198.1,106.257247735884,105.06531604135
198.8,103.9868087163,104.01235311601
199.5,101.716372070415,102.959411124781
200.2,99.4459377982311,101.906490067662
200.9,97.1755058997464,100.853589944653
201.6,95.4841537864947,99.8007107557548
202.3,94.1236672617582,98.7478525009667
203,92.7631829580111,97.6950151802889
203.7,91.4027008752535,96.6421987937215
204.4,90.0422210134852,95.5894033412644
205.1,88.6817433727063,94.5366288229175
205.8,87.3212679529169,93.4838752386811
206.5,85.9607947541168,92.4311425885548
207.2,84.6003237763061,91.3784308725389
207.9,83.2398550194849,90.3257400906333
208.6,81.879388483653,89.273070242838
209.3,80.5189241688105,89.901261517275
210,78.5300701222017,88.591858967016
210.7,77.113414519735,87.2827728289022
211.4,75.69676425469,85.9740031029335
212.1,74.2801193270665,84.6655497891098
212.8,72.8634797368647,83.3574128874314
213.5,71.4468454840843,82.049592397898
214.2,70.0302165687257,80.7420883205097
214.9,68.6135929907885,79.4349006552666
215.6,67.1969747502731,78.1280294021685
216.3,65.7803618471791,76.8214745612155
217,64.3637542815068,75.5152361324077
217.7,62.947152053256,74.2093141157449
218.4,61.5305551624268,72.9037085112273
219.1,60.1139636090193,71.5984193188548
219.8,58.6973773930332,70.2934465386274
220.5,57.2807965144689,68.9887901705451
221.2,55.8642209733261,67.6844502146079
221.9,54.9379159964461,66.3804266708157
222.6,54.2938764151377,65.0767195391688
223.3,53.6498368496153,63.7733288196669
224,53.0057972998791,62.4702545123101
224.7,52.361757765929,61.1674966170985
225.4,51.7177182477649,59.8650551340319
226.1,51.073678745387,58.5629300631105
226.8,50.4296392587951,57.3631294499488
227.5,49.7855997879895,55.8431336161179
228.2,49.1415603329698,54.3231390727636
228.9,48.4975208937363,52.8031458198859
229.6,47.8534814702889,51.2831538574849
230.3,47.2094420626277,49.7631631855606
231,46.5654026707525,48.2431738041128
231.7,45.9213632946634,46.7231857131417
232.4,45.2773239343604,45.2031989126474
233.1,44.6332845898435,43.6832134026296
233.8,43.9892452611128,42.1632291830885
234.5,43.3452059481681,40.643246254024
235.2,42.7011666510095,39.1232646154362
235.9,42.0571273696371,37.6032842673251
236.6,41.4130881040507,36.0833052096905
237.3,40.7690488542505,34.5633274425327
238,40.1250096202363,33.0433509658514
238.7,39.4809704020083,31.5233757796469
239.4,38.8369311995664,30.0034018839191
240.1,38.1928920129105,28.4834292786678
240.8,37.5488528420408,39.328838828913
241.5,36.9048136869572,38.6029000783012
242.2,36.2607745476597,37.8769613294599
242.9,35.6167354241483,37.1510225823894
243.6,34.9726963164229,36.4250838370895
244.3,34.63153463361,35.6991450935605
245,34.2714431374783,34.973206351802
245.7,33.9113516179712,34.2472676118143
246.4,33.5512600750888,33.5213288735972
247.1,33.1911685088308,32.7953901371508
247.8,32.8310769191975,32.0694514024751
248.5,32.4709853061888,31.3435126695701
249.2,32.1108936698047,30.6175739384358
249.9,31.7508020100451,29.8916352090722
250.6,31.3907103269102,29.1656964814793
251.3,31.0306186203999,28.4397577556571
252,30.6705268905141,27.7138190316055
252.7,30.3104351372529,26.9878803093246
253.4,29.9503433606163,26.2619415888144
254.1,29.5902515606043,25.536002870075
254.8,29.230159737217,24.8100641531062
255.5,28.8700678904541,24.0841254379081
256.2,28.509976020316,23.3581867244807
256.9,28.1498841268024,22.632248012824
257.6,27.7897922099133,21.9063093029379
258.3,27.4297002696489,21.1803705948226
259,27.069608306009,20.4544318884779
259.7,24.9214130051195,19.728493183904
260.4,24.4202113190039,25.8024126861954
261.1,23.9244960696623,25.3213263031646
261.8,23.4342672570947,24.8502055208498
262.5,22.9495248813011,24.389050339251
263.2,22.4702689422815,23.9378607583682
263.9,21.9964994400359,23.4966367782013
264.6,21.5282163745642,23.0653783987504
265.3,21.0654197458665,22.6440856200155
266,20.6081095539429,16.4677044525548
266.7,20.1562857987932,16.5284023644108
267.4,19.7099484804175,16.5876599057702
268.1,19.2690975988158,16.6454770766329
268.8,17.0687334619114,16.701853876999
269.5,16.8233431469972,16.7567903068684
270.2,16.580212666172,16.8102863662412
270.9,16.3393420194357,16.8623420551173
271.6,16.1007312067884,16.9129573734967
272.3,15.86438022823,16.9621323213795
273,15.6302890837606,17.0098668987657
273.7,15.3984577733802,15.356147522709
274.4,15.1688862970887,15.1764003162097
275.1,14.9415746548862,14.9981986214785
275.8,14.7165228467727,14.8215424385155
276.5,14.4937308727481,14.6464317673206
277.2,14.2731987328125,14.4728666078938
277.9,14.0549264269658,14.3008469602352
278.6,13.8389139552081,14.1303728243448
279.3,13.6251613175393,13.9614442002225
280,13.4136685139595,13.7940610878683
280.7,13.2044355444687,13.6282234872823
281.4,12.9974624090668,13.4639313984645
282.1,12.7927491077539,13.3011848214148
282.8,12.5902956405299,13.1399837561332
283.5,12.3901020073949,12.9803282026198
284.2,12.1921682083489,12.8222181608746
284.9,11.9964942433918,12.6656536308975
285.6,11.8030801125237,12.5106346126885
286.3,11.6119258157446,12.3571611062477
287,11.4230313530543,12.2052331115751
287.7,11.2363967244531,12.0548506286706
288.4,11.0520219299408,11.9060136575342
289.1,10.8699069695175,11.758722198166
289.8,10.6900518431831,11.6129762505659
290.5,10.5124565509377,11.468775814734
291.2,10.3371210927813,11.3261208906702
291.9,10.1640454687138,11.1850114783746
292.6,9.99322967873529,11.0454475778472
293.3,9.82467372284571,10.9074291890878
294,9.65837760104511,10.7709563120967
294.7,9.49434131333345,10.6360289468736
295.4,9.33256485971078,10.5026470934188
296.1,9.17304824017705,10.3708107517321
296.8,9.01579145473228,9.60521070957169
297.5,8.86079450337648,9.48708508908546
298.2,8.70805738610962,9.36919513548307
298.9,8.55758010293174,9.2515408487645
299.6,8.40936265384282,9.13412222892977
300.3,8.26340503884284,9.01693927597885
301,8.11970725793183,8.89999198991178
301.7,7.97826931110978,8.78328037072854
302.4,7.83909119837669,8.6668044184291
303.1,7.70217291973255,8.5505641330135
303.8,7.56751447517738,8.43455951448174
304.5,7.43511586471117,8.31879056283381
305.2,7.30497708833392,8.2032572780697
305.9,7.17709814604562,8.08795966018942
306.6,7.05147903784628,7.97289770919296
307.3,6.92811976373591,7.85807142508034
308,6.8070203237145,7.74348080785155
308.7,6.68818071778204,7.62912585750659
309.4,6.57160094593854,7.51500657404544
310.1,6.457281008184,7.40112295746813
310.8,6.34522090451842,7.28747500777465
311.5,6.23542063494181,7.174062724965
312.2,6.12788019945416,7.06088610903918
312.9,6.02259959805544,6.94794515999718
313.6,5.91957883074571,6.83523987783902
314.3,5.81881789752493,6.72277026256468
315,5.72031679839311,6.61053631417417
315.7,5.62407553335025,6.4985380326675
316.4,5.53009410239635,6.38677541804464
317.1,5.4383725055314,6.27524847030561
317.8,5.34891074275542,6.16395718945042
318.5,5.2617088140684,6.05290157547905
319.2,5.17676671947034,5.94208162839152
319.9,5.09408445896124,5.83149734818781
320.6,5.01366203254108,5.72114873486792
321.3,4.9354994402099,5.61103578843187
322,4.85959668196768,5.50115850887965
322.7,4.78595375781441,5.39151689621126
323.4,4.7145706677501,5.28211095042669
324.1,4.64544741177476,5.17294067152595
324.8,4.57858398988837,5.06400605950904
325.5,4.51398040209094,4.95530711437596
326.2,4.45163664838247,4.8468438361267
326.9,4.39155272876297,4.73861622476129
327.6,4.33372864323242,4.63062428027969
328.3,4.27816439179083,4.52286800268193
329,4.2248599744382,4.41534739196799
329.7,4.17381539117452,4.30806244813788
330.4,4.12503064199981,4.2010131711916
331.1,4.07850572691406,4.09419956112915
331.8,4.03424064591727,3.98762161795052
332.5,3.99223539900943,3.88127934165572
333.2,3.95248998619056,3.77517273224476
333.9,3.91500440746065,3.66930178971762
334.6,3.87977866281969,3.56366651407432
335.3,3.84681275226769,3.45826690531482
336,3.81610667580466,3.35310296343917
336.7,3.78766043343058,3.24817468844735
337.4,3.76147402514547,3.14348208033936
338.1,3.73754745094931,3.0390251391152
338.8,3.71588071084211,2.93480386477485
339.5,3.69647380482387,2.83081825731834
340.2,3.67932673289459,2.72706831674566
340.9,3.66443949505427,2.62355404305681
341.6,7.81134522393295,2.52027543625179
342.3,8.07647205348399,2.41723249633059
343,8.3387770847951,2.31442522329322
343.7,8.59826031786627,2.21185361713968
344.4,8.85492175269751,2.10951767786997
345.1,5.74330488772374,2.00741740548409
345.8,5.87057510475753,1.90555279998204
346.5,6.00362137098904,1.80392386136381
347.2,6.14244368641825,1.70253058962942
347.9,6.28704205104517,1.60137298477885
348.6,6.43741646486982,1.50045104681211
349.3,6.59356692789216,1.3997647757292
350,6.75549344011224,1.29931417153012
